user_id,age,gender,country,postal_code,traffic_source
37482,26,M,Brasil,69980-000,Organic
11719,19,F,Brasil,69980-000,Search
23428,63,F,Brasil,69980-000,Search
61240,26,M,Brasil,69980-000,Search
95948,19,F,Brasil,69980-000,Facebook
50872,39,M,Brasil,69980-000,Organic
46467,38,M,Brasil,69980-000,Search
52426,45,M,Brasil,69980-000,Email
87171,48,M,Brasil,69980-000,Search
16791,35,M,Brasil,69980-000,Search
34629,68,F,Brasil,69980-000,Search
45648,12,M,Brasil,69980-000,Facebook
53727,29,M,Brasil,69980-000,Search
197,49,M,Brasil,69980-000,Email
97496,64,F,Brasil,69980-000,Search
18937,53,F,Brasil,69980-000,Search
23047,67,M,Brasil,69980-000,Search
81022,35,F,Brasil,69980-000,Facebook
40877,61,M,Brasil,69970-000,Facebook
13843,44,F,Brasil,69970-000,Organic
23420,23,M,Brasil,69970-000,Search
74770,36,F,Brasil,69970-000,Organic
75908,28,F,Brasil,69970-000,Email
27508,70,M,Brasil,69970-000,Search
68453,13,M,Brasil,69970-000,Search
25625,18,M,Brasil,69970-000,Organic
2295,51,F,Brasil,69970-000,Search
57270,40,M,Brasil,69940-000,Search
69529,17,M,Brasil,69940-000,Search
9260,62,F,Brasil,69940-000,Organic
14702,21,F,Brasil,69940-000,Search
18760,31,F,Brasil,69940-000,Search
56782,66,M,Brasil,69940-000,Search
69413,60,M,Brasil,69940-000,Search
48868,25,F,Brasil,69940-000,Search
9951,23,F,Brasil,69940-000,Search
32632,29,M,Brasil,69940-000,Email
7571,17,M,Brasil,69917-400,Search
99337,21,M,Brasil,69917-400,Email
62304,66,F,Brasil,69917-400,Search
14095,51,M,Brasil,69917-400,Search
5791,47,F,Brasil,69917-400,Organic
53734,59,F,Brasil,69917-400,Search
93194,63,F,Brasil,69917-400,Email
40626,26,M,Brasil,69917-400,Organic
78561,34,M,Brasil,69917-400,Search
42811,39,F,Brasil,69917-400,Organic
4701,16,M,Brasil,69917-400,Search
13011,52,F,Japan,494-0001,Search
54824,29,M,Japan,494-0001,Organic
18733,20,M,Japan,493-0001,Search
74469,70,M,Japan,478-0046,Search
69620,62,F,Japan,455-0028,Organic
39829,61,M,Japan,455-0028,Search
71024,25,F,Japan,455-0028,Facebook
95328,55,F,Japan,476-0015,Search
63487,40,M,Japan,481-0004,Search
12422,26,F,Japan,481-0004,Search
81425,61,M,Japan,478-0001,Organic
31098,50,F,Japan,476-0005,Organic
93406,40,M,Japan,476-0005,Organic
74930,14,F,Japan,476-0005,Search
65325,16,M,Japan,460-0011,Search
96492,55,F,Japan,460-0011,Search
64305,46,M,Japan,460-0011,Search
11918,36,F,Japan,460-0008,Search
54967,30,M,Japan,460-0008,Search
53550,60,M,Japan,460-0008,Search
52725,26,F,Japan,460-0008,Search
56922,15,M,Japan,477-0032,Search
15314,49,F,Japan,477-0032,Search
87943,24,M,Japan,477-0032,Search
88849,39,F,Japan,476-0003,Search
89242,70,F,Japan,476-0003,Search
19380,56,M,Japan,476-0003,Organic
86225,69,F,Japan,480-0202,Search
86024,27,M,Japan,480-0202,Facebook
12146,17,M,Japan,480-0202,Search
47196,12,M,Japan,476-0002,Search
31366,34,F,Japan,460-0007,Organic
18419,48,F,Japan,460-0007,Search
39998,57,F,Japan,480-0102,Search
55898,65,F,Japan,480-0102,Facebook
94649,29,F,Japan,480-0102,Search
72884,16,M,Japan,459-8001,Email
88955,16,M,Japan,459-8001,Search
